139,0.485724064,0.225143776,Clark St & Henry St,391,31
140,0.519536387,0.211612848,Jay St & Tech Pl,392,35
141,0.558377269,0.360603024,E 5 St & Avenue C,393,37
142,0.570586582,0.372452156,E 9 St & Avenue C,394,34
143,0.688625526,0.133068319,Lefferts Pl & Franklin Ave,396,25
144,0.616172329,0.15342154,Fulton St & Clermont Ave,397,27
145,0.450541603,0.193403683,Atlantic Ave & Furman St,398,31
146,0.640190555,0.176670599,Lafayette Ave & St James Pl,399,27
147,0.548545905,0.340696805,Pitt St & Stanton St,400,15
148,0.504396858,0.345684737,Allen St & Rivington St,401,42
149,0.506697259,0.453170755,Broadway & E 22 St,402,39
150,0.500528517,0.371468654,E 2 St & 2 Ave,403,31
151,0.406702806,0.447728017,Washington St & Gansevoort St,405,51
152,0.472233472,0.211951352,Hicks St & Montague St,406,34
153,0.482716946,0.29535739,Market St & Cherry St,408,23
154,0.53023829,0.348185024,Suffolk St & Stanton St,410,45
155,0.575974234,0.356808739,E 6 St & Avenue D,411,31
156,0.481533895,0.322316174,Forsyth St & Canal St,412,29
157,0.400556682,0.263109728,Pearl St & Hanover Square,415,46
158,0.597705469,0.171435498,Cumberland St & Lafayette Ave,416,31
159,0.395483318,0.306827365,Barclay St & Church St,417,25
160,0.544249699,0.249891269,Front St & Gold St,418,23
161,0.592837879,0.215571664,Carlton Ave & Park Ave,419,23
162,0.6136612,0.172026506,Clermont Ave & Lafayette Ave,420,23
163,0.605003409,0.215181837,Clermont Ave & Park Ave,421,19
164,0.514845759,0.614125779,W 59 St & 10 Ave,422,78
165,0.520947022,0.589245659,W 54 St & 9 Ave,423,27
166,0.379228486,0.331560826,West St & Chambers St,426,30
167,0.375343988,0.248114723,Bus Slip & State St,427,47
168,0.537676626,0.377812575,E 7 St & Avenue A,432,31
169,0.430692167,0.468275607,9 Ave & W 18 St,434,60
170,0.481900636,0.46062099,W 21 St & 6 Ave,435,50
171,0.698204313,0.14279513,Hancock St & Bedford Ave,436,27
172,0.719434842,0.136487835,Macon St & Nostrand Ave,437,24
173,0.527708905,0.386206513,St Marks Pl & 1 Ave,438,47
174,0.505462293,0.378147718,E 4 St & 2 Ave,439,39
175,0.596766159,0.518316839,E 45 St & 3 Ave,440,32
176,0.483196133,0.486801349,W 27 St & 7 Ave,442,51
177,0.643815802,0.283452187,Bedford Ave & S 9 St,443,23
178,0.550485596,0.384161512,E 10 St & Avenue A,445,80
179,0.475743634,0.477354928,W 24 St & 7 Ave,446,47
180,0.53033668,0.577818043,8 Ave & W 52 St,447,31
181,0.461730718,0.539919473,W 37 St & 10 Ave,448,27
182,0.515685602,0.570160545,W 49 St & 8 Ave,450,67
183,0.454984399,0.476688803,W 22 St & 8 Ave,453,66
184,0.633906082,0.529002627,E 51 St & 1 Ave,454,35
185,0.617086328,0.504795461,1 Ave & E 44 St,455,59
186,0.590320665,0.556496349,E 53 St & Madison Ave,456,34
187,0.422282586,0.512137128,11 Ave & W 27 St,458,31
188,0.408657683,0.487324176,W 20 St & 11 Ave,459,49
189,0.634050517,0.306542638,S 4 St & Wythe Ave,460,25
190,0.547091703,0.429342532,E 20 St & 2 Ave,461,56
191,0.426090719,0.488255608,W 22 St & 10 Ave,462,47
192,0.624928887,0.55454487,E 56 St & 3 Ave,464,53
193,0.522695857,0.532087628,Broadway & W 41 St,465,39
194,0.496477936,0.472434857,W 25 St & 6 Ave,466,35
195,0.563780323,0.147912701,Dean St & 4 Ave,467,34
196,0.547775048,0.586129982,Broadway & W 56 St,468,65
197,0.543693447,0.576394619,Broadway & W 53 St,469,57
198,0.450209274,0.469763317,W 20 St & 8 Ave,470,72
